track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002439,02/09/2025 02:10,02/09/2025 02:10,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T191056.jpg,crop_1,moth,Lepidoptera Micros,Ephestiodes infimella,Drepanidae,Cilix,Cilix glaucata,2.0829735919491665,0,TRUE
Track_002440,02/09/2025 02:21,02/09/2025 02:21,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T192101.jpg,crop_1,nonmoth,Lepidoptera Micros,Tinea pellionella,Gelechiidae,Pseudotelphusa,Pseudotelphusa scalella,,0,TRUE
Track_002441,02/09/2025 02:39,02/09/2025 02:39,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T193910.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002442,02/09/2025 03:15,02/09/2025 03:15,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T201528.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002443,02/09/2025 03:17,02/09/2025 03:17,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T201729.jpg,crop_1,nonmoth,Lepidoptera Micros,Plodia interpunctella,Noctuidae,Hofmannophila,Hofmannophila pseudospretella,,0,TRUE
Track_002444,02/09/2025 03:19,02/09/2025 03:19,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T201930.jpg,crop_1,moth,Diptera Nematocera,Tinea pellionella,Crambidae,Agriphila,Agriphila inquinatella,1.9321812984030176,0,TRUE
Track_002445,02/09/2025 03:19,02/09/2025 03:19,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T201930.jpg,crop_2,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002446,02/09/2025 03:25,02/09/2025 03:25,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T202533.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002447,02/09/2025 03:27,02/09/2025 03:27,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T202734.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002448,02/09/2025 03:29,02/09/2025 03:29,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T202935.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
